編號,2. 科系所屬學院 ,3. 性別 ,優美度 [華語-台語],優美度 [英語-台語],優美度 [英語-華語],親切度 [華語-台語],親切度 [英語-台語],親切度 [英語-華語],知識性 [華語-台語],知識性 [英語-台語],知識性 [英語-華語],趣味性 [華語-台語],趣味性 [英語-台語],趣味性 [英語-華語],領導能力 [華語-台語],領導能力 [英語-台語],領導能力 [英語-華語],信任度 [華語-台語],信任度 [英語-台語],信任度 [英語-華語],25. 如果您有機會把另一個語言講得和您的「主要溝通語言」一樣好，這個語言會是?,"49.會希望將來的孩子念的是講[1台語, 2英語]幼稚園",38.對我而言，在大學選修課中以台語為課堂語言是可接受的,39.對我而言，在大學選修課中以英語為課堂語言是可接受的,40.我希望我的台語可以講得很流利,41.我希望我的英語可以講得很流利,42.我會積極爭取或把握講台語的機會,43.我會積極爭取或把握講英語的機會,44.我希望多了解台語相關知識(例如發音句法語用等),45.我希望多了解英語相關知識(例如發音句法語用等),46.我覺得如果我的台語很流利是一件很好的事情,47.我覺得如果我的英語很流利是一件很好的事情,,,,,,,,
1,D,1,2,0,-2,2,0,-2,2,0,-2,2,0,-2,1,0,-1,0,0,0,E,0,4,4,5,5,3,3,3,3,5,5,,,,,,,,
2,D,1,2,0,-2,2,0,-2,2,0,-2,2,1,-1,0,0,0,0,0,0,E,2,5,X,3,5,3,5,3,5,3,5,,,,,,,,
3,D,1,0,-2,-2,-1,-4,-3,0,-1,-1,-1,-2,-1,0,-2,-2,0,-2,-2,X,1,5,3,5,3,5,2,5,3,5,3,,,,,,,,
4,E,1,1,1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,1,E,0,5,5,5,5,5,5,5,5,5,5,,,,,,,,
5,H,1,0,-1,-1,-2,-2,0,0,0,0,-2,0,2,0,NA,NA,0,NA,NA,T,0,5,4,5,5,5,5,5,4,5,5,,,,,,,,
6,D,1,3,1,-2,0,-2,-2,0,0,0,0,-1,-1,0,0,0,0,-1,-1,E,2,5,5,5,5,5,5,3,5,5,5,,,,,,,,
7,D,1,1,2,1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,E,2,4,3,4,4,4,4,3,3,4,4,,,,,,,,
8,E,1,2,2,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,E,1,5,5,5,5,5,1,5,1,5,5,,,,,,,,
9,B,1,-4,-1,3,-4,-1,3,-4,0,4,-4,-1,3,-2,0,2,-2,0,2,E,0,5,5,5,5,5,5,5,5,5,5,,,,,,,,
10,I,1,-1,-1,0,0,1,1,-1,0,1,0,2,2,0,0,0,0,0,0,E,1,5,5,5,5,5,3,5,3,5,5,,,,,,,,
11,D,1,1,0,-1,-1,-1,0,1,1,0,-2,0,2,1,1,0,0,0,0,E,2,5,3,5,5,4,4,4,4,5,5,,,,,,,,
12,I,0,0,0,0,0,-2,-2,0,0,0,-1,0,1,0,0,0,0,0,0,E,0,5,5,5,5,5,5,5,5,5,5,,,,,,,,
13,B,1,-2,-2,0,-2,-3,-1,2,2,0,-2,-3,-1,-1,0,1,0,0,0,E,1,5,2,5,5,4,4,5,4,5,5,,,,,,,,
14,H,1,1,1,0,0,-1,-1,0,0,0,-1,-2,-1,0,1,1,0,0,0,T,0,4,4,5,5,4,4,5,5,5,5,,,,,,,,
15,E,1,0,0,0,-1,-2,-1,0,2,2,0,0,0,0,1,1,-1,-1,0,E,0,5,4,4,5,4,3,5,5,5,5,,,,,,,,
16,D,1,-2,-2,0,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,E,0,3,3,5,5,5,5,5,5,5,5,,,,,,,,
17,D,0,0,0,0,-1,-1,0,1,1,0,-1,0,1,0,0,0,0,0,0,T,2,5,5,5,5,5,5,5,5,5,5,,,,,,,,
18,D,1,0,0,0,-1,-1,0,0,0,0,-1,-2,-1,0,1,1,-1,-2,-1,E,0,4,3,5,5,5,5,5,5,5,5,,,,,,,,
19,I,1,0,0,0,0,-2,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,E,0,4,4,5,5,5,5,4,4,5,5,,,,,,,,
20,F,1,-1,-1,0,-1,-2,-1,-1,1,2,-1,-2,-1,0,1,1,-1,-1,0,E,0,5,5,5,5,5,5,5,5,5,5,,,,,,,,
21,E,1,0,0,0,1,-1,-2,0,0,0,-1,0,1,0,0,0,0,0,0,E,0,5,5,4,4,3,4,4,4,4,4,,,,,,,,
22,C,0,-1,1,2,-1,-2,-1,1,1,0,0,0,0,0,1,1,0,0,0,E,2,4,4,4,4,4,4,4,4,4,5,,,,,,,,
23,C,1,0,-1,-1,0,-2,-2,0,0,0,0,-1,-1,0,0,0,-1,-1,0,T,0,5,5,5,5,4,4,4,4,5,5,,,,,,,,
24,B,0,1,1,0,1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,T,2,4,4,5,5,3,3,5,5,5,5,,,,,,,,
25,E,1,-1,-1,0,1,-1,-2,0,0,0,-1,-1,0,0,0,0,0,-1,-1,T,0,4,5,5,5,3,3,5,4,5,5,,,,,,,,
26,I,1,-2,-2,0,-2,-2,0,0,0,0,-2,-1,1,0,0,0,-1,-1,0,T,0,5,5,5,5,5,5,5,5,5,5,,,,,,,,
27,B,1,-1,-1,0,-1,-1,0,1,0,-1,0,-1,-1,0,-1,-1,0,0,0,E,0,5,3,5,4,3,3,3,3,4,4,,,,,,,,
28,I,0,1,0,-1,0,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,E,2,5,3,5,5,4,4,5,5,5,5,,,,,,,,
29,C,1,1,-1,-2,0,-2,-2,1,0,-1,-1,-1,0,0,0,0,0,-1,-1,E,0,5,5,5,5,5,4,5,5,5,5,,,,,,,,
30,F,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,C,0,3,5,4,5,3,4,1,5,4,4,,,,,,,,
31,C,0,0,0,0,0,-1,-1,0,0,0,-1,0,1,0,1,1,-1,-1,0,E,0,5,5,5,5,3,3,5,4,5,5,,,,,,,,
32,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2,4,4,4,5,3,4,3,3,3,5,,,,,,,,
33,F,1,-1,0,1,-1,1,2,1,4,3,-1,1,2,0,-2,-2,0,-1,-1,C,2,1,5,4,5,,,1,5,4,4,,,,,,,,
34,H,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,E,2,5,5,5,5,5,5,5,5,5,5,,,,,,,,
35,H,0,1,1,0,0,-2,-2,2,2,0,-1,0,1,1,2,1,0,0,0,T,2,4,4,5,5,4,4,5,5,5,5,,,,,,,,
36,C,1,0,-1,-1,0,-2,-2,0,0,0,-1,-2,-1,0,0,0,2,0,-2,J,0,4,5,4,4,3,3,5,3,5,5,,,,,,,,
37,D,1,0,-1,-1,-1,-2,-1,1,1,0,-1,0,1,0,1,1,1,1,0,E,2,4,4,4,5,4,4,3,4,4,4,,,,,,,,
38,D,0,1,-1,-2,0,-2,-2,2,2,0,1,-1,-2,1,1,0,0,0,0,T,2,5,4,4,5,4,5,5,5,5,5,,,,,,,,
39,D,1,-1,-2,-1,-2,-2,0,0,-2,-2,-2,-2,0,0,0,0,1,0,-1,D,2,5,5,5,5,5,5,4,4,5,5,,,,,,,,
40,D,1,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,D,0,3,5,5,5,5,5,5,5,5,5,,,,,,,,
41,G,1,2,2,0,-1,-2,-1,1,1,0,0,-2,-2,0,0,0,0,0,0,S,2,5,5,5,5,5,5,5,5,5,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
