編號,1. 出生年，身分證後兩碼，手機後兩碼,2. 科系所屬學院 ,3. 性別 ,4. 6歲~12歲期間主要成長地(若是台灣請填縣市，非台灣者填國家名稱),5. 爸爸教育程度 ,6. 爸爸職業,7. 媽媽教育程度 ,8. 媽媽職業,9. 家庭每月收入(爸爸媽媽月薪合計，單位新台幣) ,10. 您爺爺的籍貫為 ? 日常生活主要語言為 ? 和他講話時您使用的語言為 ?(可填無法作答),11. 您奶奶的籍貫為 ? 日常生活主要語言為 ? 和她講話時您使用的語言為 ?(可填無法作答),12. 您外公的籍貫為 ? 日常生活主要語言為 ? 和他講話時您使用的語言為 ?(可填無法作答),13. 您外婆的籍貫為 ? 日常生活主要語言為 ? 和她講話時您使用的語言為 ?(可填無法作答),14. 平時和爸爸講話時您使用華語、台語、英語、其他語言之比例為何 ?(四項合計100%)(可填無法作答),15. 平時和媽媽講話時您使用華語、台語、英語、其他語言之比例為何 ? (四項合計100%)(可填無法作答),16. 平時和兄弟姊妹講話時您使用華語、台語、英語、其他語言之比例為何 ?(四項合計100%)(可填無法作答),17. 整體而言，您與他人(親友以外)交談時，使用華語、台語、英語、其他語言之比例為何 ? (四項合計100%)(可填無法作答),19.[華語]您自評自己以下語言的聽講能力如何,19. [台語]您自評自己以下語言的聽講能力如何,19.[英語]您自評自己以下語言的聽講能力如何,20.[華語]您對自己在以下語言於課堂表達想法,20.[台語]您對自己在以下語言於課堂表達想法,20.[英語]您對自己在以下語言於課堂表達想法,21.「主要溝通語言」為何,22. 從高中至大學「非您的主要溝通語言」為授課語言?(不包含語言授課),23. 承上題如果有，這個「語言」是,24. 從高中至大學，在課堂中或公共場合中以「非您的主要溝通語言」表達想法,25. 承上題如果有，這個「語言」是,33.[台語對話]課堂外日常生活中經常可以聽到,34.[英語對話]除了課堂外我的日常生活中經常可以聽到,35.[台語歌曲]我常聽,36.[英語歌曲]我常聽,37.[台語媒體]我常觀看,38.[英語媒體]我常觀看,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"86, 65, 07",D,1,台灣花蓮,7,公務員,6,護士,9,"台灣, H, H","台灣, H, H",X,"台灣, T, T",C100,C100,C100,C100,9,3,4,4,2,2,C,2,E,1,X,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"86, 45, 53",D,1,台灣彰化,6,通訊業,6,通訊業,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C100,C100,"C99, E1",X,1,4,6,4,1,3,C,2,E,2,E,2,2,2,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"86, 98, 91",D,1,台灣雲林,6,水電,4,家管,6,X,"X, T, T","X, T, T","X, T, T",C50，T50,C50，T50,C60，T40,C60，T40,9,8,5,5,5,3,C,2,E,1,E,5,2,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"86, 68, 12",E,1,台灣台北,6,商人,7,會計師,7,"台灣, T, C","台灣, T, C","台灣, T, C","台灣, T, C",C80，T20,"C70，T5, E25",C100,"C90，T5, E5",9,5,7,1,2,4,C,2,E,2,"E, T",5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"86, 69, 71",H,1,台灣台南,6,小型企業負責人,6,教師,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",T100,T100,T100,C40，T60,9,9,4,4,4,2,T,2,T,3,T,5,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"85, 95, 32",D,1,台灣基隆,5,貨車司機,6,會計,0,"X, X, C","X, X, C","X, X, T","X, X, T",C90，T10,C90，T10,"C90，T5, E5","C90，T5, E5",9,7,7,5,4,4,C,2,E,2,E,3,3,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"85, 75, 19",D,1,台灣台南,6,商,6,商,0,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C10，T90,C10，T90,C100,C95，T5,9,9,6,3,3,2,C,2,E,2,E,4,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"84, 90, 16",E,1,台灣台中,7,經理,6,家管,10,"X, T, C","X, T, C","X, C, C","X, C, C","C99，T0.5, E0.5",C100,C100,"C95, E5",9,2,7,5,1,4,C,3,E,3,E,1,4,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"84, 07, 12",B,1,台灣台北,7,建築師,7,老師,10,"台灣, T, T","台灣, T, T","台灣, T, T","台灣, T, T",C10，T90,"C20，T70, E10",5,"C40，T40, E20",9,9,9,5,5,5,T,5,北京話,5,北京話,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"82, 20, 10",I,1,台灣新北,5,工廠員工,5,公司職員,3,"台灣, T, T","台灣, T, T","台灣, X , X","台灣, T, T",C80，T20,C80，T20,C100,C80，T20,9,6,5,4,2,2,C,2,E,2,T,4,1,4,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,86，60，96,D,1,台灣新北市,5,餐廳主管,5,家管,5,雲南，X，X,雲南，X，X,台灣，T，T,台灣，T，T,C90，T10,C90，T10,C80，T10，E10,C95，T5,9,7,6,3,4,3,C,2,E,3,T，E,3,3,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,88，20，08,I,0,台灣台北市,6,土木工程師,7,財務管理人員,7,台灣，T，C,台灣，T，C,台灣，T，C,台灣，T，T,C90，T5，E5,C90，T5，E5,C99，T0.5，E0.5,C80，T10，E10,9,7,7,4,3,3,C,2,E,2,"E, T",3,3,2,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,87，71，85,B,1,台灣屏東,4,商人,5,家庭主婦,10,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C20，T80,C20，T80,C70，T30,C95，T5,9,7,5,5,4,2,C,2,T，E,2,T,5,2,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,87，34，08,H,1,台灣台中市,6,教師,6,公務員,0,X，T，T,X，T，T,X，T，T,X，X，X,C99，T0.5，E0.5,C99，T0.5，E0.5,C99，T0.5，E0.5,C99，T0.5，E0.5,9,8,7,5,4,3,C,1,X，X,1,X，X,4,3,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,87，92，24,E,1,台灣台南市,6,自由業,6,房仲,0,台灣，T，T,台灣，T，T,山東，X，C,台灣，C，C,C100,C100,C100,C95，T5,9,7,3,5,3,2,C,3,T，E,2,T，E,4,3,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,87，61，80,D,1,台灣高雄,6,公務員,6,會計,0,台灣，T，C,台灣，T，C,台灣，T，C,台灣，T，C,C99，T1,C99，T1,C87，T13,C87，T12，E1,9,7,5,3,3,3,C,2,E,2,T,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,87，16，04,D,0,台灣台南市,4,黑手,4,家庭主婦,2,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C40，T60,C50，T50,C90，T10,C95，T5,9,5,7,5,3,3,C,2,T,2,T,5,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,87，77，00,D,1,台灣嘉義,7,教職員,6,教職員,6,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C80，T20,C80，T20,C80，T20,C70，T20，E10,8,7,5,4,4,3,C,3,T，E,3,T，E,4,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,89，87，56,I,1,台灣澎湖縣,5,商人,6,家庭主婦,0,台灣，T，C,台灣，T，C,台灣，T，T,台灣，T，T,C100,C100,C100,C100,9,6,6,5,2,2,C,2,E,1,X，X,3,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,89，09，10,F,1,台灣台北市,6,商,7,家管,0,台灣，T，C,台灣，C，C,X，X，X,台灣，T，T,C100,C100,C100,C90，T10,9,7,7,5,3,3,C,2,E,1,X，X,4,5,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,86，68，75,E,1,台灣彰化,6,老師,5,家庭主婦,0,X，T，C+T,X，T，C+T,X，T，C+T,X，X，X,C95，T5,C90，T10,C90，T10,C98，T2,9,7,6,5,4,3,C,3,E,3,E,4,2,2,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,89，07，08,C,0,台灣台中市,7,電腦業,6,家管,3,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C90，T10,C90，T10,C90，T10,C90，T10,9,8,6,4,4,3,C,2,T，E,2,E,4,2,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,89，05，21,C,1,台灣新竹市,5,工程師,6,行政助理,7,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C90，T10,C90，T10,C80，T10，E10,C80，T10，E10,9,6,7,5,4,3,C,1,X，X,2,T，E,4,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,85，34，22,B,0,台灣彰化,4,商,3,家庭主婦,0,台灣，T，T,台灣，X，X,台灣，X，X,台灣，T，T,C80，T20,C80，T20,X,C80，T15，E5,7,6,5,3,2,2,C,1,X，X,2,T，E,4,2,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,85，72，07,E,1,台灣高雄,6,老闆,6,老闆娘,7,台灣，T，T,台灣，T，T,山東，X，X,X，H，C+H,C70，T30,C100,C100,C95，T5,9,7,7,5,4,4,C,2,E,2,E,3,2,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,85，73，54,I,1,台灣台南,7,建築師,6,秘書,0,台灣，T，T,台灣，T，T,台灣，H，C,台灣，H，C,C100,C100,C100,C95，T5,9,7,5,5,3,3,C,2,T，E,3,T,4,4,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,86，56，99,B,1,台灣屏東,5,工人,4,家管,0,X，X，X,台灣，T，T,台灣，T，T,台灣，T，T,C20，T80,C20，T80,C50，T50,C40，T60,7,7,5,3,3,2,C,2,E,1,X，X,5,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,86，35，22,I,0,台灣彰化,5,司機,5,服務業,7,台灣，X，X,台灣，T，T,台灣，X，X,台灣，X，X,C50，T50,C70，T30,X,C70，T30,9,8,7,5,4,2,C,2,E,2,E,5,3,2,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,86，34，99,C,1,台灣台南,6,冷氣工人,6,老師,0,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C10，T90,C10，T90,C30，T70,C90，T10,9,8,7,5,5,4,C,2,E,2,T，E,3,2,2,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,89，20，33,F,1,菲律賓,6,商人,6,家庭主婦,7,菲律賓，福建，X,菲律賓，福建，X,菲律賓，福建，福建,中國，福建，福建,C1，E50，其他49,C1，E50，其他49,E100,C10，T20，E40，其他30,3,4,9,4,4,5,E,2,C，T,2,C，T,1,4,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,89，01，61,C,0,台灣苗栗,8,副教授,6,會計主任,0,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C97，T2，E1,T98，T1，E1,C97，T1，E2,C97，T2，E1,9,5,6,4,3,3,C,2,T，E,2,E,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,89，29，85,F,0,台灣台中縣,7,老師,7,老師,0,台灣，T，C,台灣，T，C,台灣，T，C,台灣，T，C,C99，T1,C99，T1,C100,C99，T1,9,8,6,5,4,2,C,1,X,1,X,5,5,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,89，23，08,F,1,馬來西亞,6,藥劑師,6,家庭主婦,7,中國，C，C,中國，C，C,中國，C，C,中國，C，C,E70，其他30,C10，E60，其他30,C20，E80,C50，E50,3,1,9,2,1,5,E,3,C，T,2,T，C,1,4,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,89，48，09,H,0,馬來西亞,6,工程師,6,會計師,0,福建，T，T,福建，T，T,福建，T，T,福建，T，T,C20，其他80,C30，E20，其他40,C50，E50,C80，E20,9,6,9,5,3,5,C,3,E,4,E,3,5,2,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,89，29，29,H,0,台灣台中市,6,商,6,家管,0,X，T，C,X，T，C,X，T，C,X,C90，T10,C90，T10,C100,C70，T29，E1,9,5,5,5,3,2,C,2,T，E,3,T，E,4,4,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,87，49，33,C,1,台灣高雄縣,6,中小企業主,7,理財專員,10,台灣，T，T,台灣，T，T,台灣，C+T，C+T,台灣，C+T，C+T,C95，T5,C95，T5,C100,C80，T10，E5，其他5,9,6,7,5,3,3,C,2,J，E,2,E,4,4,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,86，03，69,D,1,台灣南投縣,5,,6,,0,X，T，T,X，T，T,X，T，T,X，T，T,C30，T70,C30，T70,C30，T70,C80，T20,8,8,6,3,3,1,C,2,E,2,E,4,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,86，28，01,D,0,台灣新北市,7,老師,7,老師,6,台灣，T，X,台灣，T，T,台灣，T，X,台灣，T，C,C80，T18，E1，其他1,C70，T10，E18，其他2,C70，T5，E23，其他2,C80，T15，E5,9,6,7,5,3,3,C,3,T，E,2,T，E,5,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,86，69，25,D,1,台灣彰化,7,老師,6,老師,9,X，T，T,X，T，T,X，T，T,X，T，T,C80，T20,C80，T20,C80，T20,C50，T30，E30，其他10,9,7,7,5,4,4,C,2,T，E,3,T，E,3,5,3,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,86，08，49,D,1,台灣高雄市,6,商人,6,會計,10,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C70，T30,C100,C100,C50，E50,9,9,9,5,3,5,C,2,J，E,3,J，E,5,5,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,86，88，55,G,1,南非,5,商人,4,家庭主婦,0,台灣，T，T,台灣，T，T,台灣，T，T,台灣，T，T,C50，T45，E5,C50，T50,C40，T40，E20,C90，E10,8,8,8,3,3,4,C,1,X,2,X,4,4,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
