編號,2. 科系所屬學院 ,3. 性別 ,26. 對語言的優美度 [您對華語的看法],26. 對語言的優美度 [您對台語的看法],26. 對語言的優美度 [您對英語的看法],27. 對語言的親切度 [您對華語的看法],27. 對語言的親切度 [您對台語的看法],27. 對語言的親切度 [您對英語的看法],28. 對語言的知識性 [您對華語的對話],28. 對語言的知識性 [您對台語的對話],28. 對語言的知識性 [您對英語的對話],29. 對語言的趣味性 [您對華語的對話],29. 對語言的趣味性 [您對台語的對話],29. 對語言的趣味性 [您對英語的對話],30. 對語言的人有無領導能力 [您覺得講華語的人],30. 對語言的人有無領導能力 [您覺得講台語的人],30. 對語言的人有無領導能力 [您覺得講英語的人],31. 對語言的人的信任度 [您覺得講華語的人],31. 對語言的人的信任度 [您覺得講台語的人],31. 對語言的人的信任度 [您覺得講英語的人],25. 如果您有機會把另一個語言講得和您的「主要溝通語言」一樣好，這個語言會是?,"49.會希望將來的孩子念的是講[1台語, 2英語]幼稚園",38.對我而言，在大學選修課中以台語為課堂語言是可接受的,39.對我而言，在大學選修課中以英語為課堂語言是可接受的,40.我希望我的台語可以講得很流利,41.我希望我的英語可以講得很流利,42.我會積極爭取或把握講台語的機會,43.我會積極爭取或把握講英語的機會,44.我希望多了解台語相關知識(例如發音句法語用等),45.我希望多了解英語相關知識(例如發音句法語用等),46.我覺得如果我的台語很流利是一件很好的事情,47.我覺得如果我的英語很流利是一件很好的事情
1,D,1,5,3,3,5,3,3,5,3,3,5,3,3,5,4,4,3,3,3,E,0,4,4,5,5,3,3,3,3,5,5
2,D,1,5,3,3,5,3,3,5,3,3,5,3,4,3,3,3,3,3,3,E,2,5,,3,5,3,5,3,5,3,5
3,D,1,5,5,3,4,5,1,5,5,4,4,5,3,5,5,3,5,5,3,X,1,5,3,5,3,5,2,5,3,5,3
4,E,1,3,2,3,3,5,3,3,3,3,4,4,4,3,3,3,3,3,4,E,0,5,5,5,5,5,5,5,5,5,5
5,H,1,5,5,4,3,5,3,5,5,5,3,5,5,3,3,,3,3,,T,0,5,4,5,5,5,5,5,4,5,5
6,D,1,5,2,3,5,5,3,4,4,4,5,5,4,5,5,5,5,5,4,E,2,5,5,5,5,5,5,3,5,5,5
7,D,1,3,2,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,2,E,2,4,3,4,4,4,4,3,3,4,4
8,E,1,3,1,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,E,1,5,5,5,5,5,1,5,1,5,5
9,B,1,1,5,4,1,5,4,1,5,5,1,5,4,3,5,5,3,5,5,E,0,5,5,5,5,5,5,5,5,5,5
10,I,1,3,4,3,3,3,4,2,3,3,3,3,5,3,3,3,3,3,3,E,1,5,5,5,5,5,3,5,3,5,5
11,D,1,5,4,4,4,5,4,4,3,4,3,5,5,4,3,4,4,4,4,E,2,5,3,5,5,4,4,4,4,5,5
12,I,0,5,5,5,5,5,3,5,5,5,4,5,5,4,4,4,3,3,3,E,0,5,5,5,5,5,5,5,5,5,5
13,B,1,3,5,3,3,5,2,5,3,5,3,5,2,3,4,4,3,3,3,E,1,5,2,5,5,4,4,5,4,5,5
14,H,1,5,4,5,5,5,4,4,4,4,4,5,3,4,4,5,4,4,4,T,0,4,4,5,5,4,4,5,5,5,5
15,E,1,3,3,3,3,4,2,3,3,5,3,3,3,4,4,5,3,4,3,E,0,5,4,4,5,4,3,5,5,5,5
16,D,1,3,5,3,3,5,3,3,3,3,3,5,3,3,3,3,3,3,3,E,0,3,3,5,5,5,5,5,5,5,5
17,D,0,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,T,2,5,5,5,5,5,5,5,5,5,5
18,D,1,4,4,4,4,5,4,4,4,4,4,5,3,3,3,4,4,5,3,E,0,4,3,5,5,5,5,5,5,5,5
19,I,1,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,E,0,4,4,5,5,5,5,4,4,5,5
20,F,1,4,5,4,4,5,3,3,4,5,4,5,3,3,3,4,3,4,3,E,0,5,5,5,5,5,5,5,5,5,5
21,E,1,4,4,4,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,E,0,5,5,4,4,3,4,4,4,4,4
22,C,0,3,4,5,4,5,3,4,3,4,4,4,4,4,4,5,3,3,3,E,2,4,4,4,4,4,4,4,4,4,5
23,C,1,5,5,4,5,5,3,3,3,3,4,4,3,3,3,3,3,4,3,T,0,5,5,5,5,4,4,4,4,5,5
24,B,0,4,3,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,T,2,4,4,5,5,3,3,5,5,5,5
25,E,1,4,5,4,5,4,3,3,3,3,3,4,3,3,3,3,4,4,3,T,0,4,5,5,5,3,3,5,4,5,5
26,I,1,3,5,3,3,5,3,5,5,5,3,5,4,5,5,5,3,4,3,T,0,5,5,5,5,5,5,5,5,5,5
27,B,1,3,4,3,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,E,0,5,3,5,4,3,3,3,3,4,4
28,I,0,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,E,2,5,3,5,5,4,4,5,5,5,5
29,C,1,5,4,3,5,5,3,5,4,4,4,5,4,4,4,4,4,4,3,E,0,5,5,5,5,5,4,5,5,5,5
30,F,1,4,4,5,4,4,5,5,5,5,4,4,5,4,4,4,5,5,5,C,0,3,5,4,5,3,4,1,5,4,4
31,C,0,5,5,5,5,5,4,5,5,5,4,5,5,3,3,4,3,4,3,E,0,5,5,5,5,3,3,5,4,5,5
32,F,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E,2,4,4,4,5,3,4,3,3,3,5
33,F,1,3,4,4,3,4,5,2,1,5,3,4,5,5,5,3,4,4,3,C,2,1,5,4,5,,,1,5,4,4
34,H,0,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,E,2,5,5,5,5,5,5,5,5,5,5
35,H,0,5,4,5,5,5,3,5,3,5,3,4,4,4,3,5,4,4,4,T,2,4,4,5,5,4,4,5,5,5,5
36,C,1,5,5,4,5,5,3,5,5,5,4,5,3,3,3,3,5,3,3,J,0,4,5,4,4,3,3,5,3,5,5
37,D,1,4,4,3,4,5,3,4,3,4,3,4,4,3,3,4,3,2,3,E,2,4,4,4,5,4,4,3,4,4,4
38,D,0,5,4,3,5,5,3,5,3,5,5,4,3,5,4,5,4,4,4,T,2,5,4,4,5,4,5,5,5,5,5
39,D,1,4,5,3,3,5,3,5,5,3,3,5,3,4,4,4,4,3,3,D,2,5,5,5,5,5,5,4,4,5,5
40,D,1,5,5,5,5,5,2,5,5,5,5,5,5,3,3,3,3,3,3,D,0,3,5,5,5,5,5,5,5,5,5
41,G,1,5,3,5,4,5,3,5,4,5,5,5,3,3,3,3,3,3,3,S,2,5,5,5,5,5,5,5,5,5,5
